epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,354.764,0.83374,0.44265,0.99119,0.93919,0.89039,0.9628,0.67952,1.0694,0.61401,1.10693,0.000349331,0.000349331,0.000349331
43,363.307,0.83126,0.43886,0.99516,0.89953,0.96667,0.96308,0.70962,1.05554,0.58518,1.09122,0.00034351,0.00034351,0.00034351
44,371.993,0.83935,0.43894,0.98818,0.90373,0.97015,0.96707,0.67715,1.12746,0.59702,1.10874,0.000337688,0.000337688,0.000337688
45,380.616,0.82566,0.44191,0.98871,0.92881,0.96329,0.96562,0.69295,1.11403,0.59279,1.11697,0.000331867,0.000331867,0.000331867
46,389.232,0.81537,0.43287,0.9821,0.93445,0.96676,0.96482,0.69059,1.12398,0.58503,1.11923,0.000326046,0.000326046,0.000326046
47,397.837,0.81008,0.43436,0.9839,0.92013,0.95648,0.96466,0.68833,1.08334,0.58535,1.11775,0.000320225,0.000320225,0.000320225
48,406.395,0.82329,0.42935,0.98817,0.92549,0.94674,0.973,0.70119,1.13407,0.59256,1.12582,0.000314404,0.000314404,0.000314404
49,414.961,0.78194,0.41657,0.98031,0.9302,0.9846,0.96712,0.70306,1.10709,0.57431,1.13699,0.000308582,0.000308582,0.000308582
50,423.492,0.79668,0.41569,0.97756,0.93457,0.96065,0.96752,0.69917,1.08278,0.57594,1.10019,0.000302761,0.000302761,0.000302761
51,432.038,0.8029,0.42103,0.98884,0.89626,0.95358,0.9648,0.68959,1.08351,0.60182,1.11752,0.00029694,0.00029694,0.00029694
52,440.561,0.78347,0.4123,0.98363,0.86334,0.96913,0.96039,0.70685,1.06074,0.59831,1.11089,0.000291119,0.000291119,0.000291119
53,449.143,0.78782,0.4173,0.97964,0.92649,0.96386,0.96475,0.68817,1.10584,0.58668,1.12398,0.000285298,0.000285298,0.000285298
54,457.718,0.77014,0.40147,0.96579,0.89683,0.97169,0.96471,0.69997,1.06895,0.5568,1.10777,0.000279476,0.000279476,0.000279476
55,466.297,0.76769,0.40287,0.96478,0.92807,0.97032,0.97093,0.70499,1.08805,0.54876,1.1272,0.000273655,0.000273655,0.000273655
56,474.892,0.74495,0.39172,0.96303,0.91617,0.9763,0.97209,0.68475,1.13721,0.59065,1.14872,0.000267834,0.000267834,0.000267834
57,483.497,0.74639,0.39134,0.96249,0.92454,0.94957,0.96967,0.7078,1.10286,0.58298,1.12916,0.000262013,0.000262013,0.000262013
58,492.083,0.73664,0.38638,0.96631,0.92331,0.96355,0.96433,0.69529,1.12536,0.5714,1.14375,0.000256192,0.000256192,0.000256192
59,500.693,0.73477,0.38992,0.95155,0.92768,0.97887,0.96632,0.68822,1.14365,0.57854,1.14891,0.00025037,0.00025037,0.00025037
60,509.283,0.70875,0.38171,0.95459,0.93481,0.97794,0.96972,0.6815,1.10987,0.5468,1.13453,0.000244549,0.000244549,0.000244549
61,517.856,0.7089,0.37981,0.95922,0.9226,0.96367,0.9668,0.70709,1.08528,0.54777,1.12421,0.000238728,0.000238728,0.000238728
62,526.369,0.72319,0.38252,0.93692,0.92585,0.97329,0.96078,0.69921,1.07766,0.54672,1.12139,0.000232907,0.000232907,0.000232907
63,534.929,0.71748,0.38528,0.94832,0.93836,0.95181,0.95824,0.68213,1.13054,0.58147,1.15173,0.000227086,0.000227086,0.000227086
64,543.533,0.70388,0.3785,0.94466,0.92822,0.95831,0.96277,0.69887,1.09003,0.59492,1.15764,0.000221264,0.000221264,0.000221264
65,552.098,0.69391,0.37003,0.93652,0.93255,0.97183,0.96451,0.67223,1.11136,0.56845,1.15186,0.000215443,0.000215443,0.000215443
66,560.7,0.68637,0.37184,0.93231,0.92516,0.98127,0.96432,0.70032,1.1005,0.53757,1.14237,0.000209622,0.000209622,0.000209622
67,569.282,0.69131,0.37102,0.93904,0.93697,0.96416,0.96186,0.70401,1.07889,0.5393,1.14775,0.000203801,0.000203801,0.000203801
68,577.885,0.68448,0.36151,0.94397,0.93544,0.97275,0.95935,0.69656,1.074,0.54864,1.13712,0.00019798,0.00019798,0.00019798
69,586.471,0.68813,0.36678,0.93631,0.93836,0.95083,0.96238,0.67269,1.14907,0.57645,1.15499,0.000192158,0.000192158,0.000192158
70,595.009,0.67951,0.36366,0.93875,0.94101,0.94942,0.95804,0.68428,1.12395,0.56946,1.15797,0.000186337,0.000186337,0.000186337
71,603.567,0.65244,0.35259,0.93704,0.94125,0.94731,0.95154,0.68896,1.10273,0.57334,1.13665,0.000180516,0.000180516,0.000180516
72,612.16,0.67074,0.36233,0.9472,0.93743,0.95522,0.95469,0.68338,1.11603,0.58204,1.15289,0.000174695,0.000174695,0.000174695
73,620.729,0.6523,0.3539,0.93022,0.9346,0.96741,0.95994,0.69589,1.09643,0.55976,1.13847,0.000168874,0.000168874,0.000168874
74,629.219,0.65648,0.3532,0.93293,0.93576,0.95902,0.96347,0.69976,1.08627,0.54511,1.12832,0.000163052,0.000163052,0.000163052
75,637.835,0.64236,0.35032,0.9219,0.92905,0.97331,0.96442,0.7127,1.08403,0.55921,1.14519,0.000157231,0.000157231,0.000157231
76,646.499,0.63098,0.34352,0.92319,0.94096,0.97821,0.96406,0.70088,1.10817,0.56283,1.14708,0.00015141,0.00015141,0.00015141
77,655.061,0.62707,0.34271,0.91943,0.93338,0.96811,0.96422,0.68455,1.09699,0.55692,1.134,0.000145589,0.000145589,0.000145589
78,663.605,0.6372,0.35086,0.92528,0.93014,0.95765,0.96549,0.6946,1.10738,0.57487,1.15916,0.000139768,0.000139768,0.000139768
79,672.23,0.62856,0.34334,0.9156,0.92669,0.95862,0.96187,0.68591,1.14047,0.57379,1.16406,0.000133946,0.000133946,0.000133946
80,680.803,0.63422,0.33434,0.92285,0.92856,0.9634,0.9625,0.70698,1.08754,0.53511,1.12813,0.000128125,0.000128125,0.000128125
81,689.345,0.62901,0.33366,0.91507,0.92654,0.97908,0.96511,0.69905,1.09787,0.54414,1.15321,0.000122304,0.000122304,0.000122304
82,697.943,0.60773,0.33282,0.90988,0.92859,0.94903,0.96553,0.70167,1.08928,0.53943,1.15185,0.000116483,0.000116483,0.000116483
83,706.566,0.62483,0.3333,0.91788,0.93053,0.9813,0.96459,0.68931,1.11965,0.55373,1.15895,0.000110662,0.000110662,0.000110662
84,715.159,0.60662,0.32733,0.91073,0.93683,0.95795,0.96382,0.69859,1.10924,0.56229,1.14871,0.00010484,0.00010484,0.00010484
85,723.696,0.59787,0.32975,0.91193,0.9333,0.94974,0.96293,0.694,1.10894,0.58507,1.15131,9.90192e-05,9.90192e-05,9.90192e-05
86,732.275,0.58838,0.31951,0.90355,0.93535,0.95114,0.964,0.71159,1.08759,0.5675,1.14059,9.3198e-05,9.3198e-05,9.3198e-05
87,740.886,0.59705,0.33296,0.91537,0.93861,0.95282,0.9677,0.70791,1.08696,0.55866,1.14316,8.73768e-05,8.73768e-05,8.73768e-05
88,749.405,0.59267,0.32155,0.90962,0.93857,0.95537,0.96874,0.70063,1.09076,0.5524,1.14928,8.15556e-05,8.15556e-05,8.15556e-05
89,757.947,0.57353,0.31399,0.90169,0.93909,0.95712,0.96985,0.6976,1.10626,0.542,1.14533,7.57344e-05,7.57344e-05,7.57344e-05
90,766.539,0.58274,0.31687,0.90816,0.93326,0.96279,0.9666,0.69797,1.1189,0.55824,1.15629,6.99132e-05,6.99132e-05,6.99132e-05
91,775.8,0.54216,0.28234,0.87442,0.92506,0.97667,0.96472,0.68957,1.13206,0.54498,1.16538,6.4092e-05,6.4092e-05,6.4092e-05
92,784.46,0.5152,0.27101,0.85814,0.92252,0.97781,0.96548,0.69257,1.10513,0.54844,1.16312,5.82708e-05,5.82708e-05,5.82708e-05
93,792.931,0.50863,0.2692,0.86856,0.90752,0.97382,0.9621,0.69248,1.10509,0.55275,1.16645,5.24496e-05,5.24496e-05,5.24496e-05
94,801.426,0.50086,0.26283,0.86077,0.91075,0.96966,0.96497,0.69879,1.09835,0.55258,1.1709,4.66284e-05,4.66284e-05,4.66284e-05
95,809.902,0.49019,0.26638,0.85563,0.91587,0.96454,0.96744,0.69183,1.09814,0.55583,1.16816,4.08072e-05,4.08072e-05,4.08072e-05
96,818.365,0.48797,0.26066,0.85876,0.91888,0.96798,0.96684,0.69978,1.08466,0.53433,1.1578,3.4986e-05,3.4986e-05,3.4986e-05
97,826.813,0.48965,0.25919,0.86397,0.91618,0.97336,0.96615,0.69428,1.09783,0.537,1.15427,2.91648e-05,2.91648e-05,2.91648e-05
98,835.284,0.48343,0.25937,0.84862,0.91598,0.96388,0.96804,0.69813,1.0914,0.53645,1.15249,2.33436e-05,2.33436e-05,2.33436e-05
99,843.702,0.46851,0.25285,0.85497,0.91457,0.97107,0.96597,0.6975,1.08608,0.53563,1.15239,1.75224e-05,1.75224e-05,1.75224e-05
100,852.102,0.47103,0.25291,0.85006,0.91536,0.96975,0.96545,0.69874,1.08927,0.54101,1.15245,1.17012e-05,1.17012e-05,1.17012e-05
